invoice_id,batch_id,customer_id,invoice_number,invoice_date,issue_date,due_date,amount,original_amount,remaining_balance,open_amount,currency,status,payment_reference
INV-0054,BATCH-DEMO-001,CUST-005,INV-2026-0054,2026-06-23,2026-06-23,2026-07-23,246215.00,246215.00,246215.00,246215.00,INR,OPEN,PAY-0054
INV-0055,BATCH-DEMO-001,CUST-005,INV-2026-0055,2026-07-02,2026-07-02,2026-08-01,22670.00,22670.00,22670.00,22670.00,INR,OPEN,PAY-0055
INV-0056,BATCH-DEMO-001,CUST-006,INV-2026-0056,2026-07-12,2026-07-12,2026-08-11,110630.00,110630.00,110630.00,110630.00,INR,OPEN,PAY-0056
INV-0057,BATCH-DEMO-001,CUST-006,INV-2026-0057,2026-07-21,2026-07-21,2026-08-20,218760.00,218760.00,218760.00,218760.00,INR,OPEN,PAY-0057
INV-0058,BATCH-DEMO-001,CUST-007,INV-2026-0058,2026-07-04,2026-07-04,2026-08-03,98675.00,98675.00,98675.00,98675.00,INR,OPEN,PAY-0058
INV-0059,BATCH-DEMO-001,CUST-007,INV-2026-0059,2026-07-06,2026-07-06,2026-08-05,81530.00,81530.00,81530.00,81530.00,INR,OPEN,PAY-0059
INV-0060,BATCH-DEMO-001,CUST-008,INV-2026-0060,2026-07-08,2026-07-08,2026-08-07,200465.00,200465.00,200465.00,200465.00,INR,OPEN,PAY-0060
INV-0061,BATCH-DEMO-001,CUST-008,INV-2026-0061,2026-08-04,2026-08-04,2026-09-03,105015.00,105015.00,105015.00,105015.00,INR,OPEN,PAY-0061
INV-0062,BATCH-DEMO-001,CUST-009,INV-2026-0062,2026-07-21,2026-07-21,2026-08-20,89205.00,89205.00,89205.00,89205.00,INR,OPEN,PAY-0062
INV-0063,BATCH-DEMO-001,CUST-009,INV-2026-0063,2026-06-23,2026-06-23,2026-07-23,65245.00,65245.00,65245.00,65245.00,INR,OPEN,PAY-0063
INV-0064,BATCH-DEMO-001,CUST-010,INV-2026-0064,2026-07-05,2026-07-05,2026-08-04,159300.00,159300.00,159300.00,159300.00,INR,OPEN,PAY-0064
INV-0065,BATCH-DEMO-001,CUST-010,INV-2026-0065,2026-07-20,2026-07-20,2026-08-19,187745.00,187745.00,187745.00,187745.00,INR,OPEN,PAY-0065
INV-0066,BATCH-DEMO-001,CUST-006,INV-2026-0066,2026-06-25,2026-06-25,2026-07-25,220285.00,220285.00,220285.00,220285.00,INR,OPEN,PAY-0066
INV-0067,BATCH-DEMO-001,CUST-007,INV-2026-0067,2026-07-26,2026-07-26,2026-08-25,175265.00,175265.00,175265.00,175265.00,INR,OPEN,PAY-0067
INV-0068,BATCH-DEMO-001,CUST-008,INV-2026-0068,2026-06-23,2026-06-23,2026-07-23,130200.00,130200.00,130200.00,130200.00,INR,OPEN,PAY-0068
INV-0069,BATCH-DEMO-001,CUST-009,INV-2026-0069,2026-07-10,2026-07-10,2026-08-09,81520.00,81520.00,81520.00,81520.00,INR,OPEN,PAY-0069
INV-0070,BATCH-DEMO-001,CUST-010,INV-2026-0070,2026-08-11,2026-08-11,2026-09-10,80440.00,80440.00,80440.00,80440.00,INR,OPEN,PAY-0070
INV-0071,BATCH-DEMO-001,CUST-011,INV-2026-0071,2026-07-08,2026-07-08,2026-08-07,32400.00,32400.00,32400.00,32400.00,INR,OPEN,PAY-0071
INV-0072,BATCH-DEMO-001,CUST-012,INV-2026-0072,2026-06-29,2026-06-29,2026-07-29,114540.00,114540.00,114540.00,114540.00,INR,OPEN,PAY-0072
INV-0073,BATCH-DEMO-001,CUST-013,INV-2026-0073,2026-07-14,2026-07-14,2026-08-13,40670.00,40670.00,40670.00,40670.00,INR,OPEN,PAY-0073
INV-0074,BATCH-DEMO-001,CUST-014,INV-2026-0074,2026-07-15,2026-07-15,2026-08-14,98775.00,98775.00,98775.00,98775.00,INR,OPEN,PAY-0074
INV-0075,BATCH-DEMO-001,CUST-015,INV-2026-0075,2026-08-08,2026-08-08,2026-09-07,174800.00,174800.00,174800.00,174800.00,INR,OPEN,PAY-0075
INV-0076,BATCH-DEMO-001,CUST-016,INV-2026-0076,2026-06-25,2026-06-25,2026-07-25,35630.00,35630.00,35630.00,35630.00,INR,OPEN,PAY-0076
INV-0077,BATCH-DEMO-001,CUST-017,INV-2026-0077,2026-07-15,2026-07-15,2026-08-14,195750.00,195750.00,195750.00,195750.00,INR,OPEN,PAY-0077
INV-0078,BATCH-DEMO-001,CUST-018,INV-2026-0078,2026-07-17,2026-07-17,2026-08-16,129125.00,129125.00,129125.00,129125.00,INR,OPEN,PAY-0078
INV-0079,BATCH-DEMO-001,CUST-019,INV-2026-0079,2026-07-02,2026-07-02,2026-08-01,92005.00,92005.00,92005.00,92005.00,INR,OPEN,PAY-0079
INV-0080,BATCH-DEMO-001,CUST-020,INV-2026-0080,2026-07-21,2026-07-21,2026-08-20,82715.00,82715.00,82715.00,82715.00,INR,OPEN,PAY-0080
INV-0081,BATCH-DEMO-001,CUST-011,INV-2026-0081,2026-07-28,2026-07-28,2026-08-27,59970.00,59970.00,59970.00,59970.00,INR,OPEN,PAY-0081
INV-0082,BATCH-DEMO-001,CUST-011,INV-2026-0082,2026-07-28,2026-07-28,2026-08-27,59970.00,59970.00,59970.00,59970.00,INR,OPEN,PAY-0082
INV-0083,BATCH-DEMO-001,CUST-012,INV-2026-0083,2026-07-27,2026-07-27,2026-08-26,147820.00,147820.00,147820.00,147820.00,INR,OPEN,PAY-0083
INV-0084,BATCH-DEMO-001,CUST-012,INV-2026-0084,2026-07-27,2026-07-27,2026-08-26,147820.00,147820.00,147820.00,147820.00,INR,OPEN,PAY-0084
INV-0085,BATCH-DEMO-001,CUST-013,INV-2026-0085,2026-07-26,2026-07-26,2026-08-25,154465.00,154465.00,154465.00,154465.00,INR,OPEN,PAY-0085
INV-0086,BATCH-DEMO-001,CUST-013,INV-2026-0086,2026-07-26,2026-07-26,2026-08-25,154465.00,154465.00,154465.00,154465.00,INR,OPEN,PAY-0086
INV-0087,BATCH-DEMO-001,CUST-014,INV-2026-0087,2026-07-25,2026-07-25,2026-08-24,182020.00,182020.00,182020.00,182020.00,INR,OPEN,PAY-0087
INV-0088,BATCH-DEMO-001,CUST-014,INV-2026-0088,2026-07-25,2026-07-25,2026-08-24,182020.00,182020.00,182020.00,182020.00,INR,OPEN,PAY-0088
INV-0089,BATCH-DEMO-001,CUST-015,INV-2026-0089,2026-07-24,2026-07-24,2026-08-23,162935.00,162935.00,162935.00,162935.00,INR,OPEN,PAY-0089
INV-0090,BATCH-DEMO-001,CUST-015,INV-2026-0090,2026-07-24,2026-07-24,2026-08-23,162935.00,162935.00,162935.00,162935.00,INR,OPEN,PAY-0090
INV-0091,BATCH-DEMO-001,CUST-016,INV-2026-0091,2026-08-07,2026-08-07,2026-09-06,154995.00,154995.00,154995.00,154995.00,INR,OPEN,PAY-0091
INV-0092,BATCH-DEMO-001,CUST-017,INV-2026-0092,2026-08-06,2026-08-06,2026-09-05,226340.00,226340.00,226340.00,226340.00,INR,OPEN,PAY-0092
INV-0093,BATCH-DEMO-001,CUST-018,INV-2026-0093,2026-08-05,2026-08-05,2026-09-04,249745.00,249745.00,249745.00,249745.00,INR,OPEN,PAY-0093
INV-0094,BATCH-DEMO-001,CUST-019,INV-2026-0094,2026-08-04,2026-08-04,2026-09-03,11565.00,11565.00,11565.00,11565.00,INR,OPEN,PAY-0094
INV-0095,BATCH-DEMO-001,CUST-020,INV-2026-0095,2026-08-03,2026-08-03,2026-09-02,220880.00,220880.00,220880.00,220880.00,INR,OPEN,PAY-0095
INV-0096,BATCH-DEMO-001,CUST-016,INV-2026-0091,2026-08-07,2026-08-07,2026-09-06,154995.00,154995.00,154995.00,154995.00,INR,OPEN,PAY-0091
INV-0097,BATCH-DEMO-001,CUST-017,INV-2026-0092,2026-08-06,2026-08-06,2026-09-05,226340.00,226340.00,226340.00,226340.00,INR,OPEN,PAY-0092
INV-0098,BATCH-DEMO-001,CUST-018,INV-2026-0093,2026-08-05,2026-08-05,2026-09-04,249745.00,249745.00,249745.00,249745.00,INR,OPEN,PAY-0093
INV-0099,BATCH-DEMO-001,CUST-019,INV-2026-0094,2026-08-04,2026-08-04,2026-09-03,11565.00,11565.00,11565.00,11565.00,INR,OPEN,PAY-0094
INV-0100,BATCH-DEMO-001,CUST-020,INV-2026-0095,2026-08-03,2026-08-03,2026-09-02,220880.00,220880.00,220880.00,220880.00,INR,OPEN,PAY-0095
