entry_id,batch_id,entry_date,account_code,direction,amount,currency,reference,counterparty,transaction_id,status
LEDGER-0015,BATCH-DEMO-001,2026-08-28,1100-ACCOUNTS-RECEIVABLE,CREDIT,159210.00,INR,PAY-0015 INV-2026-0015,Orchid Hospitality Services Limited,BANK-0015,UNMATCHED
LEDGER-0016,BATCH-DEMO-001,2026-08-28,1100-ACCOUNTS-RECEIVABLE,CREDIT,235785.00,INR,PAY-0016 INV-2026-0016,Pioneer Office Solutions Private Limited,BANK-0016,UNMATCHED
LEDGER-0017,BATCH-DEMO-001,2026-08-29,1100-ACCOUNTS-RECEIVABLE,CREDIT,188160.00,INR,PAY-0017 INV-2026-0017,Quartz Media Networks Limited,BANK-0017,UNMATCHED
LEDGER-0018,BATCH-DEMO-001,2026-08-28,1100-ACCOUNTS-RECEIVABLE,CREDIT,129345.00,INR,PAY-0018 INV-2026-0018,Riverbend Engineering Private Limited,BANK-0018,UNMATCHED
LEDGER-0019,BATCH-DEMO-001,2026-08-26,1100-ACCOUNTS-RECEIVABLE,CREDIT,6455.00,INR,PAY-0019 INV-2026-0019,Summit Learning Systems Limited,BANK-0019,UNMATCHED
LEDGER-0020,BATCH-DEMO-001,2026-08-30,1100-ACCOUNTS-RECEIVABLE,CREDIT,150740.00,INR,PAY-0020 INV-2026-0020,Trident Packaging India Private Limited,BANK-0020,UNMATCHED
LEDGER-0021,BATCH-DEMO-001,2026-08-27,1100-ACCOUNTS-RECEIVABLE,CREDIT,5100.00,INR,NEFT Acme Private Limited 0021 SETTLEMENT,Acme Private Limited,BANK-0021,UNMATCHED
LEDGER-0022,BATCH-DEMO-001,2026-08-21,1100-ACCOUNTS-RECEIVABLE,CREDIT,182340.00,INR,RTGS/INV20260022/BluePeak Retail Limited,BluePeak Retail Limited,BANK-0022,UNMATCHED
LEDGER-0023,BATCH-DEMO-001,2026-08-22,1100-ACCOUNTS-RECEIVABLE,CREDIT,183850.00,INR,WIRE Cedar Labs India Private Limited INV 0023 PAID,Cedar Labs India Private Limited,BANK-0023,UNMATCHED
LEDGER-0024,BATCH-DEMO-001,2026-08-20,1100-ACCOUNTS-RECEIVABLE,CREDIT,169825.00,INR,NEFT Delta Industrial Systems Limited 0024 SETTLEMENT,Delta Industrial Systems Limited,BANK-0024,UNMATCHED
LEDGER-0025,BATCH-DEMO-001,2026-08-27,1100-ACCOUNTS-RECEIVABLE,CREDIT,150805.00,INR,RTGS/INV20260025/Evergreen Foods Private Limited,Evergreen Foods Private Limited,BANK-0025,UNMATCHED
LEDGER-0026,BATCH-DEMO-001,2026-08-31,1100-ACCOUNTS-RECEIVABLE,CREDIT,116910.00,INR,WIRE ACME PVT INV 0026 PAID,ACME PVT,BANK-0026,UNMATCHED
LEDGER-0027,BATCH-DEMO-001,2026-08-29,1100-ACCOUNTS-RECEIVABLE,CREDIT,91695.00,INR,NEFT BLUEPEAK RETAIL 0027 SETTLEMENT,BLUEPEAK RETAIL,BANK-0027,UNMATCHED
LEDGER-0028,BATCH-DEMO-001,2026-08-29,1100-ACCOUNTS-RECEIVABLE,CREDIT,89335.00,INR,RTGS/INV20260028/CEDAR LABS INDIA,CEDAR LABS INDIA,BANK-0028,UNMATCHED
LEDGER-0029,BATCH-DEMO-001,2026-08-21,1100-ACCOUNTS-RECEIVABLE,CREDIT,139725.00,INR,WIRE DELTA INDUSTRIAL INV 0029 PAID,DELTA INDUSTRIAL,BANK-0029,UNMATCHED
LEDGER-0030,BATCH-DEMO-001,2026-08-30,1100-ACCOUNTS-RECEIVABLE,CREDIT,98820.00,INR,NEFT EVERGREEN FOODS 0030 SETTLEMENT,EVERGREEN FOODS,BANK-0030,UNMATCHED
LEDGER-0031,BATCH-DEMO-001,2026-08-29,1100-ACCOUNTS-RECEIVABLE,CREDIT,97005.00,INR,RTGS/INV20260031/FALCON MOBILITY,FALCON MOBILITY,BANK-0031,UNMATCHED
LEDGER-0032,BATCH-DEMO-001,2026-08-24,1100-ACCOUNTS-RECEIVABLE,CREDIT,49870.00,INR,WIRE GRANITE WORKS INV 0032 PAID,GRANITE WORKS,BANK-0032,UNMATCHED
LEDGER-0033,BATCH-DEMO-001,2026-08-26,1100-ACCOUNTS-RECEIVABLE,CREDIT,134970.00,INR,NEFT HARBORLINE LOGISTICS 0033 SETTLEMENT,HARBORLINE LOGISTICS,BANK-0033,UNMATCHED
LEDGER-0034,BATCH-DEMO-001,2026-08-29,1100-ACCOUNTS-RECEIVABLE,CREDIT,31785.00,INR,RTGS/INV20260034/INDIGO HEALTH,INDIGO HEALTH,BANK-0034,UNMATCHED
LEDGER-0035,BATCH-DEMO-001,2026-08-26,1100-ACCOUNTS-RECEIVABLE,CREDIT,140025.00,INR,WIRE JUNIPER COMMERCE INV 0035 PAID,JUNIPER COMMERCE,BANK-0035,UNMATCHED
LEDGER-0036,BATCH-DEMO-001,2026-08-28,1100-ACCOUNTS-RECEIVABLE,CREDIT,60973.35,INR,PART PAYMENT INV-2026-0036,Pioneer Office Solutions Private Limited,BANK-0036,UNMATCHED
LEDGER-0037,BATCH-DEMO-001,2026-08-23,1100-ACCOUNTS-RECEIVABLE,CREDIT,85668.00,INR,PART PAYMENT INV-2026-0037,Quartz Media Networks Limited,BANK-0037,UNMATCHED
LEDGER-0038,BATCH-DEMO-001,2026-09-01,1100-ACCOUNTS-RECEIVABLE,CREDIT,52497.00,INR,PART PAYMENT INV-2026-0038,Riverbend Engineering Private Limited,BANK-0038,UNMATCHED
LEDGER-0039,BATCH-DEMO-001,2026-08-31,1100-ACCOUNTS-RECEIVABLE,CREDIT,169231.60,INR,PART PAYMENT INV-2026-0039,Summit Learning Systems Limited,BANK-0039,UNMATCHED
LEDGER-0040,BATCH-DEMO-001,2026-08-22,1100-ACCOUNTS-RECEIVABLE,CREDIT,20108.45,INR,PART PAYMENT INV-2026-0040,Trident Packaging India Private Limited,BANK-0040,UNMATCHED
LEDGER-0041,BATCH-DEMO-001,2026-08-25,1100-ACCOUNTS-RECEIVABLE,CREDIT,80901.45,INR,PART PAYMENT INV-2026-0041,Acme Private Limited,BANK-0041,UNMATCHED
LEDGER-0042,BATCH-DEMO-001,2026-08-23,1100-ACCOUNTS-RECEIVABLE,CREDIT,113203.80,INR,PART PAYMENT INV-2026-0042,BluePeak Retail Limited,BANK-0042,UNMATCHED
LEDGER-0043,BATCH-DEMO-001,2026-08-29,1100-ACCOUNTS-RECEIVABLE,CREDIT,43011.00,INR,PART PAYMENT INV-2026-0043,Cedar Labs India Private Limited,BANK-0043,UNMATCHED
LEDGER-0044,BATCH-DEMO-001,2026-08-23,1100-ACCOUNTS-RECEIVABLE,CREDIT,127243.00,INR,PART PAYMENT INV-2026-0044,Delta Industrial Systems Limited,BANK-0044,UNMATCHED
LEDGER-0045,BATCH-DEMO-001,2026-09-01,1100-ACCOUNTS-RECEIVABLE,CREDIT,78231.45,INR,PART PAYMENT INV-2026-0045,Evergreen Foods Private Limited,BANK-0045,UNMATCHED
LEDGER-0046,BATCH-DEMO-001,2026-08-31,1100-ACCOUNTS-RECEIVABLE,CREDIT,216830.00,INR,NEFT Acme Private Limited INV-2026-0046 INV-2026-0047 SETTLEMENT,Acme Private Limited,BANK-0046,UNMATCHED
LEDGER-0047,BATCH-DEMO-001,2026-08-28,1100-ACCOUNTS-RECEIVABLE,CREDIT,292325.00,INR,NEFT BluePeak Retail Limited INV-2026-0048 INV-2026-0049 SETTLEMENT,BluePeak Retail Limited,BANK-0047,UNMATCHED
LEDGER-0048,BATCH-DEMO-001,2026-08-31,1100-ACCOUNTS-RECEIVABLE,CREDIT,164055.00,INR,NEFT Cedar Labs India Private Limited INV-2026-0050 INV-2026-0051 SETTLEMENT,Cedar Labs India Private Limited,BANK-0048,UNMATCHED
LEDGER-0049,BATCH-DEMO-001,2026-08-31,1100-ACCOUNTS-RECEIVABLE,CREDIT,402615.00,INR,NEFT Delta Industrial Systems Limited INV-2026-0052 INV-2026-0053 SETTLEMENT,Delta Industrial Systems Limited,BANK-0049,UNMATCHED
LEDGER-0050,BATCH-DEMO-001,2026-08-24,1100-ACCOUNTS-RECEIVABLE,CREDIT,268885.00,INR,NEFT Evergreen Foods Private Limited INV-2026-0054 INV-2026-0055 SETTLEMENT,Evergreen Foods Private Limited,BANK-0050,UNMATCHED
LEDGER-0051,BATCH-DEMO-001,2026-08-22,5000-OPERATING-EXPENSE,DEBIT,79890.00,INR,AP RUN 202609-001,People Operations Payroll,,POSTED
LEDGER-0052,BATCH-DEMO-001,2026-08-30,5100-OPERATING-EXPENSE,DEBIT,242110.00,INR,AP RUN 202609-002,Metro Business Park,,POSTED
LEDGER-0053,BATCH-DEMO-001,2026-08-30,5200-OPERATING-EXPENSE,DEBIT,246780.00,INR,AP RUN 202609-003,India Tax Authority,,POSTED
LEDGER-0054,BATCH-DEMO-001,2026-08-12,5300-OPERATING-EXPENSE,DEBIT,69245.00,INR,AP RUN 202609-004,Cloud Infrastructure Vendor,,POSTED
LEDGER-0055,BATCH-DEMO-001,2026-08-18,5400-OPERATING-EXPENSE,DEBIT,80425.00,INR,AP RUN 202609-005,Corporate Card Clearing,,POSTED
LEDGER-0056,BATCH-DEMO-001,2026-08-27,5000-OPERATING-EXPENSE,DEBIT,43600.00,INR,AP RUN 202609-006,People Operations Payroll,,POSTED
LEDGER-0057,BATCH-DEMO-001,2026-08-20,5100-OPERATING-EXPENSE,DEBIT,8045.00,INR,AP RUN 202609-007,Metro Business Park,,POSTED
LEDGER-0058,BATCH-DEMO-001,2026-08-16,5200-OPERATING-EXPENSE,DEBIT,69340.00,INR,AP RUN 202609-008,India Tax Authority,,POSTED
LEDGER-0059,BATCH-DEMO-001,2026-08-25,5300-OPERATING-EXPENSE,DEBIT,88015.00,INR,AP RUN 202609-009,Cloud Infrastructure Vendor,,POSTED
LEDGER-0060,BATCH-DEMO-001,2026-08-14,5400-OPERATING-EXPENSE,DEBIT,48555.00,INR,AP RUN 202609-010,Corporate Card Clearing,,POSTED
LEDGER-0061,BATCH-DEMO-001,2026-08-20,5000-OPERATING-EXPENSE,DEBIT,95000.00,INR,AP RUN 202609-011,People Operations Payroll,,POSTED
LEDGER-0062,BATCH-DEMO-001,2026-08-30,5100-OPERATING-EXPENSE,DEBIT,237865.00,INR,AP RUN 202609-012,Metro Business Park,,POSTED
LEDGER-0063,BATCH-DEMO-001,2026-08-17,5200-OPERATING-EXPENSE,DEBIT,116925.00,INR,AP RUN 202609-013,India Tax Authority,,POSTED
LEDGER-0064,BATCH-DEMO-001,2026-08-15,5300-OPERATING-EXPENSE,DEBIT,34615.00,INR,AP RUN 202609-014,Cloud Infrastructure Vendor,,POSTED
LEDGER-0065,BATCH-DEMO-001,2026-08-15,5400-OPERATING-EXPENSE,DEBIT,238345.00,INR,AP RUN 202609-015,Corporate Card Clearing,,POSTED
LEDGER-0066,BATCH-DEMO-001,2026-08-16,5000-OPERATING-EXPENSE,DEBIT,238000.00,INR,AP RUN 202609-016,People Operations Payroll,,POSTED
LEDGER-0067,BATCH-DEMO-001,2026-08-12,5100-OPERATING-EXPENSE,DEBIT,59515.00,INR,AP RUN 202609-017,Metro Business Park,,POSTED
LEDGER-0068,BATCH-DEMO-001,2026-08-27,5200-OPERATING-EXPENSE,DEBIT,81085.00,INR,AP RUN 202609-018,India Tax Authority,,POSTED
LEDGER-0069,BATCH-DEMO-001,2026-08-19,5300-OPERATING-EXPENSE,DEBIT,33920.00,INR,AP RUN 202609-019,Cloud Infrastructure Vendor,,POSTED
LEDGER-0070,BATCH-DEMO-001,2026-08-29,5400-OPERATING-EXPENSE,DEBIT,167045.00,INR,AP RUN 202609-020,Corporate Card Clearing,,POSTED
