transaction_id,batch_id,customer_id,transaction_date,booking_date,value_date,amount,currency,direction,counterparty,reference,payment_reference,remittance_id,status
BANK-0016,BATCH-DEMO-001,CUST-016,2026-08-28,2026-08-28,2026-08-28,235785.00,INR,CREDIT,Pioneer Office Solutions Private Limited,PAY-0016 INV-2026-0016,PAY-0016,RMT-0016,UNPROCESSED
BANK-0017,BATCH-DEMO-001,CUST-017,2026-08-29,2026-08-29,2026-08-29,188160.00,INR,CREDIT,Quartz Media Networks Limited,PAY-0017 INV-2026-0017,PAY-0017,RMT-0017,UNPROCESSED
BANK-0018,BATCH-DEMO-001,CUST-018,2026-08-28,2026-08-28,2026-08-28,129345.00,INR,CREDIT,Riverbend Engineering Private Limited,PAY-0018 INV-2026-0018,PAY-0018,RMT-0018,UNPROCESSED
BANK-0019,BATCH-DEMO-001,CUST-019,2026-08-26,2026-08-26,2026-08-26,6455.00,INR,CREDIT,Summit Learning Systems Limited,PAY-0019 INV-2026-0019,PAY-0019,RMT-0019,UNPROCESSED
BANK-0020,BATCH-DEMO-001,CUST-020,2026-08-30,2026-08-30,2026-08-30,150740.00,INR,CREDIT,Trident Packaging India Private Limited,PAY-0020 INV-2026-0020,PAY-0020,RMT-0020,UNPROCESSED
BANK-0021,BATCH-DEMO-001,CUST-001,2026-08-27,2026-08-27,2026-08-27,5100.00,INR,CREDIT,Acme Private Limited,NEFT Acme Private Limited 0021 SETTLEMENT,,RMT-0021,UNPROCESSED
BANK-0022,BATCH-DEMO-001,CUST-002,2026-08-21,2026-08-21,2026-08-21,182340.00,INR,CREDIT,BluePeak Retail Limited,RTGS/INV20260022/BluePeak Retail Limited,,RMT-0022,UNPROCESSED
BANK-0023,BATCH-DEMO-001,CUST-003,2026-08-22,2026-08-22,2026-08-22,183850.00,INR,CREDIT,Cedar Labs India Private Limited,WIRE Cedar Labs India Private Limited INV 0023 PAID,,RMT-0023,UNPROCESSED
BANK-0024,BATCH-DEMO-001,CUST-004,2026-08-20,2026-08-20,2026-08-20,169825.00,INR,CREDIT,Delta Industrial Systems Limited,NEFT Delta Industrial Systems Limited 0024 SETTLEMENT,,RMT-0024,UNPROCESSED
BANK-0025,BATCH-DEMO-001,CUST-005,2026-08-27,2026-08-27,2026-08-27,150805.00,INR,CREDIT,Evergreen Foods Private Limited,RTGS/INV20260025/Evergreen Foods Private Limited,,RMT-0025,UNPROCESSED
BANK-0026,BATCH-DEMO-001,CUST-001,2026-08-31,2026-08-31,2026-08-31,116910.00,INR,CREDIT,ACME PVT,WIRE ACME PVT INV 0026 PAID,,RMT-0026,UNPROCESSED
BANK-0027,BATCH-DEMO-001,CUST-002,2026-08-29,2026-08-29,2026-08-29,91695.00,INR,CREDIT,BLUEPEAK RETAIL,NEFT BLUEPEAK RETAIL 0027 SETTLEMENT,,RMT-0027,UNPROCESSED
BANK-0028,BATCH-DEMO-001,CUST-003,2026-08-29,2026-08-29,2026-08-29,89335.00,INR,CREDIT,CEDAR LABS INDIA,RTGS/INV20260028/CEDAR LABS INDIA,,RMT-0028,UNPROCESSED
BANK-0029,BATCH-DEMO-001,CUST-004,2026-08-21,2026-08-21,2026-08-21,139725.00,INR,CREDIT,DELTA INDUSTRIAL,WIRE DELTA INDUSTRIAL INV 0029 PAID,,RMT-0029,UNPROCESSED
BANK-0030,BATCH-DEMO-001,CUST-005,2026-08-30,2026-08-30,2026-08-30,98820.00,INR,CREDIT,EVERGREEN FOODS,NEFT EVERGREEN FOODS 0030 SETTLEMENT,,RMT-0030,UNPROCESSED
BANK-0031,BATCH-DEMO-001,CUST-006,2026-08-29,2026-08-29,2026-08-29,97005.00,INR,CREDIT,FALCON MOBILITY,RTGS/INV20260031/FALCON MOBILITY,,,UNPROCESSED
BANK-0032,BATCH-DEMO-001,CUST-007,2026-08-24,2026-08-24,2026-08-24,49870.00,INR,CREDIT,GRANITE WORKS,WIRE GRANITE WORKS INV 0032 PAID,,,UNPROCESSED
BANK-0033,BATCH-DEMO-001,CUST-008,2026-08-26,2026-08-26,2026-08-26,134970.00,INR,CREDIT,HARBORLINE LOGISTICS,NEFT HARBORLINE LOGISTICS 0033 SETTLEMENT,,,UNPROCESSED
BANK-0034,BATCH-DEMO-001,CUST-009,2026-08-29,2026-08-29,2026-08-29,31785.00,INR,CREDIT,INDIGO HEALTH,RTGS/INV20260034/INDIGO HEALTH,,,UNPROCESSED
BANK-0035,BATCH-DEMO-001,CUST-010,2026-08-26,2026-08-26,2026-08-26,140025.00,INR,CREDIT,JUNIPER COMMERCE,WIRE JUNIPER COMMERCE INV 0035 PAID,,,UNPROCESSED
BANK-0036,BATCH-DEMO-001,CUST-016,2026-08-28,2026-08-28,2026-08-28,60973.35,INR,CREDIT,Pioneer Office Solutions Private Limited,PART PAYMENT INV-2026-0036,,RMT-0036,UNPROCESSED
BANK-0037,BATCH-DEMO-001,CUST-017,2026-08-23,2026-08-23,2026-08-23,85668.00,INR,CREDIT,Quartz Media Networks Limited,PART PAYMENT INV-2026-0037,,RMT-0037,UNPROCESSED
BANK-0038,BATCH-DEMO-001,CUST-018,2026-09-01,2026-09-01,2026-09-01,52497.00,INR,CREDIT,Riverbend Engineering Private Limited,PART PAYMENT INV-2026-0038,,RMT-0038,UNPROCESSED
BANK-0039,BATCH-DEMO-001,CUST-019,2026-08-31,2026-08-31,2026-08-31,169231.60,INR,CREDIT,Summit Learning Systems Limited,PART PAYMENT INV-2026-0039,,RMT-0039,UNPROCESSED
BANK-0040,BATCH-DEMO-001,CUST-020,2026-08-22,2026-08-22,2026-08-22,20108.45,INR,CREDIT,Trident Packaging India Private Limited,PART PAYMENT INV-2026-0040,,RMT-0040,UNPROCESSED
BANK-0041,BATCH-DEMO-001,CUST-001,2026-08-25,2026-08-25,2026-08-25,80901.45,INR,CREDIT,Acme Private Limited,PART PAYMENT INV-2026-0041,,,UNPROCESSED
BANK-0042,BATCH-DEMO-001,CUST-002,2026-08-23,2026-08-23,2026-08-23,113203.80,INR,CREDIT,BluePeak Retail Limited,PART PAYMENT INV-2026-0042,,,UNPROCESSED
BANK-0043,BATCH-DEMO-001,CUST-003,2026-08-29,2026-08-29,2026-08-29,43011.00,INR,CREDIT,Cedar Labs India Private Limited,PART PAYMENT INV-2026-0043,,,UNPROCESSED
BANK-0044,BATCH-DEMO-001,CUST-004,2026-08-23,2026-08-23,2026-08-23,127243.00,INR,CREDIT,Delta Industrial Systems Limited,PART PAYMENT INV-2026-0044,,,UNPROCESSED
BANK-0045,BATCH-DEMO-001,CUST-005,2026-09-01,2026-09-01,2026-09-01,78231.45,INR,CREDIT,Evergreen Foods Private Limited,PART PAYMENT INV-2026-0045,,,UNPROCESSED
BANK-0046,BATCH-DEMO-001,CUST-001,2026-08-31,2026-08-31,2026-08-31,216830.00,INR,CREDIT,Acme Private Limited,NEFT Acme Private Limited INV-2026-0046 INV-2026-0047 SETTLEMENT,,RMT-0046,UNPROCESSED
BANK-0047,BATCH-DEMO-001,CUST-002,2026-08-28,2026-08-28,2026-08-28,292325.00,INR,CREDIT,BluePeak Retail Limited,NEFT BluePeak Retail Limited INV-2026-0048 INV-2026-0049 SETTLEMENT,,RMT-0047,UNPROCESSED
BANK-0048,BATCH-DEMO-001,CUST-003,2026-08-31,2026-08-31,2026-08-31,164055.00,INR,CREDIT,Cedar Labs India Private Limited,NEFT Cedar Labs India Private Limited INV-2026-0050 INV-2026-0051 SETTLEMENT,,RMT-0048,UNPROCESSED
BANK-0049,BATCH-DEMO-001,CUST-004,2026-08-31,2026-08-31,2026-08-31,402615.00,INR,CREDIT,Delta Industrial Systems Limited,NEFT Delta Industrial Systems Limited INV-2026-0052 INV-2026-0053 SETTLEMENT,,RMT-0049,UNPROCESSED
BANK-0050,BATCH-DEMO-001,CUST-005,2026-08-24,2026-08-24,2026-08-24,268885.00,INR,CREDIT,Evergreen Foods Private Limited,NEFT Evergreen Foods Private Limited INV-2026-0054 INV-2026-0055 SETTLEMENT,,RMT-0050,UNPROCESSED
BANK-0051,BATCH-DEMO-001,CUST-006,2026-08-24,2026-08-24,2026-08-24,329390.00,INR,CREDIT,Falcon Mobility Limited,NEFT Falcon Mobility Limited INV-2026-0056 INV-2026-0057 SETTLEMENT,,,UNPROCESSED
BANK-0052,BATCH-DEMO-001,CUST-007,2026-08-27,2026-08-27,2026-08-27,180205.00,INR,CREDIT,Granite Works India Private Limited,NEFT Granite Works India Private Limited INV-2026-0058 INV-2026-0059 SETTLEMENT,,,UNPROCESSED
BANK-0053,BATCH-DEMO-001,CUST-008,2026-08-22,2026-08-22,2026-08-22,305480.00,INR,CREDIT,Harborline Logistics Limited,NEFT Harborline Logistics Limited INV-2026-0060 INV-2026-0061 SETTLEMENT,,,UNPROCESSED
BANK-0054,BATCH-DEMO-001,CUST-009,2026-08-23,2026-08-23,2026-08-23,154450.00,INR,CREDIT,Indigo Health Systems Private Limited,NEFT Indigo Health Systems Private Limited INV-2026-0062 INV-2026-0063 SETTLEMENT,,,UNPROCESSED
BANK-0055,BATCH-DEMO-001,CUST-010,2026-08-25,2026-08-25,2026-08-25,347045.00,INR,CREDIT,Juniper Digital Commerce Limited,NEFT Juniper Digital Commerce Limited INV-2026-0064 INV-2026-0065 SETTLEMENT,,,UNPROCESSED
BANK-0056,BATCH-DEMO-001,CUST-006,2026-08-20,2026-08-20,2026-08-20,220215.75,INR,CREDIT,Falcon Mobility Limited,INV-2026-0066 SETTLEMENT LESS CHGS,,,UNPROCESSED
BANK-0057,BATCH-DEMO-001,CUST-007,2026-08-25,2026-08-25,2026-08-25,175227.50,INR,CREDIT,Granite Works India Private Limited,INV-2026-0067 SETTLEMENT LESS CHGS,,,UNPROCESSED
BANK-0058,BATCH-DEMO-001,CUST-008,2026-09-01,2026-09-01,2026-09-01,129952.75,INR,CREDIT,Harborline Logistics Limited,INV-2026-0068 SETTLEMENT LESS CHGS,,,UNPROCESSED
BANK-0059,BATCH-DEMO-001,CUST-009,2026-08-30,2026-08-30,2026-08-30,81320.50,INR,CREDIT,Indigo Health Systems Private Limited,INV-2026-0069 SETTLEMENT LESS CHGS,,,UNPROCESSED
BANK-0060,BATCH-DEMO-001,CUST-010,2026-08-26,2026-08-26,2026-08-26,80382.75,INR,CREDIT,Juniper Digital Commerce Limited,INV-2026-0070 SETTLEMENT LESS CHGS,,,UNPROCESSED
BANK-0061,BATCH-DEMO-001,CUST-011,2026-08-29,2026-08-29,2026-08-29,32568.00,INR,CREDIT,Keystone Energy Services Limited,ADVANCE PLUS INV-2026-0071,,,UNPROCESSED
BANK-0062,BATCH-DEMO-001,CUST-012,2026-08-21,2026-08-21,2026-08-21,114672.50,INR,CREDIT,Lotus Consumer Products Private Limited,ADVANCE PLUS INV-2026-0072,,,UNPROCESSED
BANK-0063,BATCH-DEMO-001,CUST-013,2026-08-28,2026-08-28,2026-08-28,41031.00,INR,CREDIT,Meridian Analytics India Limited,ADVANCE PLUS INV-2026-0073,,,UNPROCESSED
BANK-0064,BATCH-DEMO-001,CUST-014,2026-08-26,2026-08-26,2026-08-26,99009.00,INR,CREDIT,Northstar Components Private Limited,ADVANCE PLUS INV-2026-0074,,,UNPROCESSED
BANK-0065,BATCH-DEMO-001,CUST-015,2026-08-23,2026-08-23,2026-08-23,174957.00,INR,CREDIT,Orchid Hospitality Services Limited,ADVANCE PLUS INV-2026-0075,,,UNPROCESSED
BANK-0066,BATCH-DEMO-001,CUST-016,2026-08-22,2026-08-22,2026-08-22,35630.00,USD,CREDIT,Pioneer Office Solutions Private Limited,INV-2026-0076 FULL SETTLEMENT,,,UNPROCESSED
BANK-0067,BATCH-DEMO-001,CUST-017,2026-08-21,2026-08-21,2026-08-21,195750.00,USD,CREDIT,Quartz Media Networks Limited,INV-2026-0077 FULL SETTLEMENT,,,UNPROCESSED
BANK-0068,BATCH-DEMO-001,CUST-018,2026-08-28,2026-08-28,2026-08-28,129125.00,USD,CREDIT,Riverbend Engineering Private Limited,INV-2026-0078 FULL SETTLEMENT,,,UNPROCESSED
BANK-0069,BATCH-DEMO-001,CUST-019,2026-08-27,2026-08-27,2026-08-27,92005.00,USD,CREDIT,Summit Learning Systems Limited,INV-2026-0079 FULL SETTLEMENT,,,UNPROCESSED
BANK-0070,BATCH-DEMO-001,CUST-020,2026-08-26,2026-08-26,2026-08-26,82715.00,USD,CREDIT,Trident Packaging India Private Limited,INV-2026-0080 FULL SETTLEMENT,,,UNPROCESSED
BANK-0071,BATCH-DEMO-001,CUST-011,2026-08-30,2026-08-30,2026-08-30,59970.00,INR,CREDIT,Keystone Energy Services Limited,WIRE Keystone Energy Services Limited ACCOUNT SETTLEMENT,,,UNPROCESSED
BANK-0072,BATCH-DEMO-001,CUST-012,2026-08-20,2026-08-20,2026-08-20,147820.00,INR,CREDIT,Lotus Consumer Products Private Limited,WIRE Lotus Consumer Products Private Limited ACCOUNT SETTLEMENT,,,UNPROCESSED
BANK-0073,BATCH-DEMO-001,CUST-013,2026-08-24,2026-08-24,2026-08-24,154465.00,INR,CREDIT,Meridian Analytics India Limited,WIRE Meridian Analytics India Limited ACCOUNT SETTLEMENT,,,UNPROCESSED
BANK-0074,BATCH-DEMO-001,CUST-014,2026-09-01,2026-09-01,2026-09-01,182020.00,INR,CREDIT,Northstar Components Private Limited,WIRE Northstar Components Private Limited ACCOUNT SETTLEMENT,,,UNPROCESSED
BANK-0075,BATCH-DEMO-001,CUST-015,2026-08-31,2026-08-31,2026-08-31,162935.00,INR,CREDIT,Orchid Hospitality Services Limited,WIRE Orchid Hospitality Services Limited ACCOUNT SETTLEMENT,,,UNPROCESSED
BANK-0076,BATCH-DEMO-001,,2026-08-26,2026-08-26,2026-08-26,100865.00,INR,CREDIT,UNKNOWN COUNTERPARTY 1,INCOMING TRANSFER NO DETAILS 9076,,,UNPROCESSED
BANK-0077,BATCH-DEMO-001,,2026-08-20,2026-08-20,2026-08-20,203440.00,INR,CREDIT,UNKNOWN COUNTERPARTY 2,INCOMING TRANSFER NO DETAILS 9077,,,UNPROCESSED
BANK-0078,BATCH-DEMO-001,,2026-08-27,2026-08-27,2026-08-27,125845.00,INR,CREDIT,UNKNOWN COUNTERPARTY 3,INCOMING TRANSFER NO DETAILS 9078,,,UNPROCESSED
BANK-0079,BATCH-DEMO-001,,2026-08-28,2026-08-28,2026-08-28,161295.00,INR,CREDIT,UNKNOWN COUNTERPARTY 4,INCOMING TRANSFER NO DETAILS 9079,,,UNPROCESSED
BANK-0080,BATCH-DEMO-001,,2026-08-26,2026-08-26,2026-08-26,202945.00,INR,CREDIT,UNKNOWN COUNTERPARTY 5,INCOMING TRANSFER NO DETAILS 9080,,,UNPROCESSED
